wavelength_nm,chlorophyll-a,chlorophyll-b,fucoxanthin,prasinoxanthin
691.8,0.000228563,2.82e-05,0.000264856,5.72104e-05
690.9,0.000258091,3.88e-05,0.000240319,6.69372e-05
690.1,0.00032956,2.91e-05,0.000248221,3.07407e-05
689.2,0.000402299,2.63e-05,0.000235812,7.01303e-05
688.4,0.000490055,4.34e-05,0.000292844,3.7345e-05
687.5,0.000572202,1.62e-06,0.000247418,6.45674e-05
686.7,0.00070077,6.95e-05,0.000199344,7.96843e-05
685.8,0.000835194,3.75e-05,0.000223577,9.34875e-05
685.0,0.000992121,6.3e-05,0.000246032,2.19729e-05
684.1,0.001272514,7.74e-05,0.000236724,5.35547e-05
683.3,0.001443904,0.000113703,0.000247123,7.25261e-05
682.4,0.001707501,9.48e-05,0.000242827,8.32716e-05
681.5,0.002089485,0.000152887,0.000263767,5.37343e-05
680.7,0.002468677,0.000129689,0.000274107,3.14825e-05
679.8,0.002940089,0.000179027,0.000263828,4.91235e-05
679.0,0.003538391,0.000199669,0.000302082,3.92445e-05
678.1,0.004104744,0.000213067,0.000271495,6.77851e-05
677.3,0.004822936,0.00024249,0.00031184,8.44869e-05
676.4,0.005646164,0.000282461,0.000297058,9.66468e-05
675.6,0.00643948,0.000255127,0.000346008,9.13782e-05
674.7,0.007497713,0.000415935,0.000327787,6.10643e-05
673.9,0.008460497,0.000388827,0.000330695,9.40683e-05
673.0,0.009471417,0.000439351,0.000300615,6.53158e-05
672.2,0.010345133,0.000508914,0.000344623,0.00011964
671.3,0.011618304,0.000612831,0.000319329,8.28322e-05
670.5,0.013165163,0.000661623,0.0003556,0.000105114
669.6,0.014464268,0.000820184,0.000343757,6.30543e-05
668.7,0.015607237,0.000901551,0.000385945,6.034e-05
667.9,0.016738454,0.001036506,0.000335711,2.89662e-05
667.0,0.017743137,0.00117283,0.000362176,5.50562e-05
666.2,0.018621597,0.001386589,0.00036415,3.93366e-05
665.3,0.019260986,0.00156166,0.000353046,4.96204e-05
664.5,0.019738383,0.001788878,0.000342001,9.13533e-05
663.6,0.020025328,0.002043197,0.000372246,4.75031e-05
662.8,0.020046297,0.0023271,0.00034549,3.69245e-05
661.9,0.019848126,0.002644233,0.000360919,3.84396e-05
661.1,0.019497389,0.003003781,0.000301973,5.94331e-05
660.2,0.018867347,0.00337869,0.000359678,4.01765e-05
659.4,0.018148404,0.00381031,0.000283751,3.29704e-05
658.5,0.017239031,0.004281981,0.000293649,4.85521e-05
657.7,0.016226954,0.004829134,0.000245076,5.01151e-05
656.8,0.015147747,0.00533408,0.000319789,8.15803e-05
655.9,0.014021199,0.00601202,0.000270647,7.89685e-05
655.1,0.012850325,0.006662048,0.000304997,6.55494e-05
654.2,0.011768713,0.007291658,0.000292414,5.97698e-05
653.4,0.010663614,0.007975533,0.000256644,5.91703e-05
652.5,0.00966667,0.008650928,0.000286934,3.17982e-05
651.7,0.008701356,0.009297633,0.00028974,9.04027e-05
650.8,0.007880013,0.00990853,0.000261253,7.30203e-05
650.0,0.007009475,0.010388533,0.000314695,0.000104065
649.1,0.006363622,0.01091003,0.000260692,7.613e-05
648.3,0.005718014,0.011244284,0.000273329,8.90582e-05
647.4,0.005168877,0.011518982,0.000204467,7.87628e-05
646.6,0.004707051,0.011686193,0.000230657,8.38849e-05
645.7,0.004337788,0.011686453,0.000244234,7.94134e-05
644.9,0.003967369,0.011589927,0.000252263,5.45638e-05
644.0,0.003672325,0.011393837,0.000231542,5.78233e-05
643.1,0.003407799,0.011030303,0.000229962,3.68374e-05
642.3,0.003220193,0.010636353,0.000254275,5.47354e-05
641.4,0.0030251,0.010195633,0.000260319,0.00010168
640.6,0.002961966,0.009867109,0.000248635,5.7862e-05
639.7,0.002798003,0.00921424,0.000251158,5.23684e-05
638.9,0.002706968,0.008441471,0.000236677,8.12425e-05
638.0,0.002633346,0.007782425,0.000215186,3.30101e-05
637.2,0.002607356,0.007191821,0.000217333,4.48484e-05
636.3,0.002560914,0.006593732,0.000224034,3.92705e-05
635.5,0.002588392,0.006082268,0.000261611,7.07779e-05
634.6,0.002551415,0.00547745,0.000219905,5.56789e-05
633.8,0.002648153,0.005062489,0.000222273,3.24145e-05
632.9,0.002672645,0.004583445,0.000231013,4.86751e-05
632.1,0.002716283,0.004214092,0.000232287,4.23968e-05
631.2,0.002745763,0.003842453,0.000270653,7.48293e-05
630.3,0.002868064,0.003565407,0.000225123,6.65673e-05
629.5,0.002929411,0.003284567,0.000263088,3.9265e-05
628.6,0.003021372,0.003105895,0.000247409,0.0001041
627.8,0.003071295,0.002868295,0.000224936,7.52413e-05
626.9,0.003241868,0.002754854,0.000237243,7.70998e-06
626.1,0.003300042,0.002586336,0.00024052,5.9007e-05
625.2,0.003403192,0.002489518,0.000225048,7.46531e-05
624.4,0.003447884,0.002361051,0.000234656,6.95015e-05
623.5,0.003561605,0.002309306,0.000213019,0.000138885
622.7,0.003609138,0.002226879,0.000188637,7.9871e-05
621.8,0.003704299,0.002221811,0.000222306,0.000101184
621.0,0.003712228,0.002159362,0.000236149,8.88309e-05
620.1,0.003763675,0.002149221,0.000254016,8.78901e-05
619.3,0.003784295,0.002133241,0.00024817,0.000110038
618.4,0.003830765,0.002135212,0.000259966,9.85534e-05
617.5,0.003816709,0.002138284,0.000255249,7.05669e-05
616.7,0.003846932,0.002161111,0.000243463,9.15892e-05
615.8,0.00380813,0.002140564,0.000248363,9.13312e-05
615.0,0.003788766,0.002129193,0.000237258,9.09259e-05
614.1,0.003771513,0.002143652,0.000269365,6.49218e-05
613.3,0.003733446,0.002122419,0.000268699,0.000110043
612.4,0.003693283,0.002148203,0.000234303,7.90353e-05
611.6,0.00363763,0.002137688,0.000243837,9.4148e-05
610.7,0.003548853,0.002155906,0.000274948,7.76251e-05
609.9,0.003511889,0.002150704,0.000247913,7.71602e-05
609.0,0.003422165,0.002178638,0.000233996,0.000113273
608.2,0.00336221,0.002182604,0.000231957,0.000162464
607.3,0.003271663,0.002234474,0.000247985,8.99416e-05
